doc,aid,journal,year,authors,title
240,10.2307/25699062,Population and Development Review,2010,Hendrik P. Van Dalen,Productivity of Older Workers: Perceptions of Employers and Employees
241,10.2307/1515181,Demography,2005,Michael A. Quinn,The Importance of Education-Occupation Matching in Migration Decisions
242,10.2307/2172175,Population Studies,1951,Jerry W. Combs_ Jr.,Differential Fertility in Puerto Rico
243,10.2307/27643479,Population Studies,2008,Corrine Williams,Sexual Violence at First Intercourse against Women in Moshi_ Northern Tanzania: Prevalence_ Risk Factors_ and Consequences
244,10.2307/2174241,Population Studies,1989,Graziella Caselli,Age_ Period_ Cohort and Early Mortality: An Analysis of Adult Mortality in Italy
245,10.2307/2060588,Demography,1977,Gordon F. Sutton,Measuring the Effects of Race Differentials in Mortality Upon Surviving Family Members
246,10.2307/2695157,Population and Development Review,2001,Arthur P. Wolf,Is There Evidence of Birth Control in Late Imperial China?
247,10.2307/2060601,Demography,1977,Andrei Rogers,Rejoinder
248,10.2307/1972626,Population and Development Review,1981,,Research on the Determinants of Fertility: A Note on Priorities
249,10.2307/2172617,Population Studies,1966,G. W. Roberts,Summary Statistics on Indenture and Associated Migration Affecting the West Indies_ 1834-1918
250,10.2307/2174755,Population Studies,1992,M. Murphy,Economic Models of Fertility in Post-War Britain--A Conceptual and Statistical Re-interpretation
251,10.2307/2061227,Demography,1979,Lester R. Curtin,A Note on the Analysis of Parity Progression Ratios
252,10.2307/1972320,Population and Development Review,1979,Harvey J. Graff,Literacy_ Education_ and Fertility_ Past and Present: A Critical Review
253,10.2307/2172123,Population Studies,1948,E. Susswein,Family Allowances in Belgium
254,10.2307/2061380,Demography,1990,Pamela J. Smock,Remarriage Patterns of Black and White Women: Reassessing the Role of Educational Attainment
255,10.2307/2060672,Demography,1972,Omer R. Galle,Metropolitan Migration Efficiency
256,10.2307/3115217,Population and Development Review,2000,Ronald Lee,Life Cycle Saving and the Demographic Transition: The Case of Taiwan
257,10.2307/2808022,Population and Development Review,1998,Jere R. Behrman,Population and Reproductive Health: An Economic Framework for Policy Evaluation
258,10.2307/2174709,Population Studies,1992,Paula Lantz,Using Retrospective Surveys for Estimating the Effects of Breastfeeding and Childspacing on Infant and Child Mortality
259,10.2307/2173330,Population Studies,1961,Warren C. Robinson,Urban-Rural Differences in Indian Fertility
260,10.2307/2060212,Demography,1968,Evelyn M. Kitagawa,Education Differentials in Mortality by Cause of Death: United States_ 1960
261,10.2307/2060860,Demography,1972,Larry H. Long,The Influence of Number and Ages of Children on Residential Mobility
262,10.2307/2172232,Population Studies,1951,J. W. B. Douglas,Social Class Differences in Health and Survival During the First Two Years of Life; the Results of a National Survey
263,10.2307/2060316,Demography,1967,John V. D. Saunders,Demographic and Economic Correlates of Development as Measured by Energy Consumption
264,10.2307/2060328,Demography,1967,Donald S. Akers,On Measuring the Marriage Squeeze
265,10.2307/2061300,Demography,1987,James C. Cramer,Social Factors and Infant Mortality: Identifying High-Risk Groups and Proximate Causes
266,10.2307/2584676,Population Studies,1999,Dominique Meekers,Pregnancy-Related School Dropouts in Botswana
267,10.2307/20058853,Population and Development Review,2006,Alaka Malwade Basu,The Emotions and Reproductive Health
268,10.2307/2175073,Population Studies,1997,Abbas Bhuiya,The Effect of Divorce on Child Survival in a Rural Area of Bangladesh
269,10.2307/2174915,Population Studies,1996,Basia Zaba,Fertility and the Distribution of Child Mortality Risk among Women: An Illustrative Analysis
270,10.2307/1515212,Demography,2004,Claude S. Fischer,Distinguishing the Geographic Levels and Social Dimensions of U.S. Metropolitan Segregation_ 1960-2000
271,10.2307/25651478,Demography,2008,TERRA MCKINNISH,SPOUSAL MOBILITY AND EARNINGS
272,10.2307/2060483,Demography,1974,H. Yuan Tien,Reply from Yuan Tien
273,10.2307/2060681,Demography,1971,Tore Schweder,The Precision of Population Projections Studied by Multiple Prediction Methods
274,10.2307/2060022,Demography,1970,Larry D. Barnett,U. S. Population Growth as an Abstractly-Perceived Problem
275,10.2307/2061304,Demography,1987,Robert Warren,A Count of the Uncountable: Estimates of Undocumented Aliens Counted in the 1980 United States Census
276,10.2307/2584702,Population Studies,1999,T. Chandola,Recent European Fertility Patterns: Fitting Curves to 'Distorted' Distributions
277,10.2307/3092943,Population Studies,2002,Kenneth A. Bollen,Economic Status Proxies in Studies of Fertility in Developing Countries: Does the Measure Matter?
278,10.2307/2061530,Demography,1989,Richard G. Rogers,Ethnic and Birth Weight Differences in Cause-Specific Infant Mortality
279,10.2307/2061594,Demography,1985,R. E. Rickson,Mortality Levels and Family Fertility Goals: A Reply
280,10.2307/2174786,Population Studies,1991,Lorenzo Moreno,An Alternative Model of the Impact of the Proximate Determinants of Fertility Change: Evidence from Latin America
281,10.2307/2807930,Population and Development Review,1989,N. S. Jodha,Depletion of Common Property Resources in India: Micro-Level Evidence
282,10.2307/2060359,Demography,1967,John Y. Takeshita,Measuring Acceptances in a Family Planning Program: The Decomposition of Rates by Eligibility Criteria
283,10.2307/2174218,Population Studies,1987,Thomas W. Pullum,Adapting Fertility Exposure Analysis to the Study of Fertility Change
284,10.2307/172320,Population and Development Review,2000,John Bongaarts,On the Quantum and Tempo of Fertility: Reply
285,10.2307/3092758,Population and Development Review,2002,Fred C. Pampel,Cigarette Use and the Narrowing Sex Differential in Mortality
286,10.2307/2061163,Demography,1984,Stephen C. Farber,Fertility Adaptation of Rural-To-Urban Migrant Women: A Method of Estimation Applied to Korean Women
287,10.2307/2807962,Population and Development Review,1984,T. Paul Schultz,Studying the Impact of Household Economic and Community Variables on Child Mortality
288,10.2307/2061241,Demography,1983,Dov Friedlander,Demographic Responses and Socioeconomic Structure: Population Processes in England and Wales in the Nineteenth Century
289,10.2307/2172161,Population Studies,1955,,Corrigenda: Variations in Morality and Life Expectation
290,10.2307/25699059,Population and Development Review,2010,Ron Lesthaeghe,The Unfolding Story of the Second Demographic Transition
291,10.2307/2938458,Population and Development Review,1993,George F. Kennan,George Kennan on US Population Size and on Immigration to the US
292,10.2307/4148229,Population Studies,2004,Warren B. Miller,A Framework for Modelling Fertility Motivation in Couples
293,10.2307/20616495,Demography,2009,James M. Raymo,Cohabitation and Family Formation in Japan
294,10.2307/2061749,Demography,1994,Debra Friedman,A Theory of the Value of Children
295,10.2307/2173358,Population Studies,1968,Ursula M. Cowgill,A Reply to M. Henry's Comments on Cowgill's Article (Population Studies_ July 1967)
296,10.2307/1972557,Population and Development Review,1981,James R. Roumasset,Population_ Technological Change_ and the Evolution of Labor Markets
297,10.2307/2060572,Demography,1977,,Editor's Correction Notice
298,10.2307/3088297,Demography,2001,Vincent Kang Fu,Racial Intermarriage Pairings
299,10.2307/4148211,Population Studies,2004,Daniel M. Goodkind,China's Missing Children: The 2000 Census Underreporting Surprise
300,10.2307/25651496,Demography,2010,LAURA TACH,PARENTING AS A "PACKAGE DEAL": RELATIONSHIPS_ FERTILITY_ AND NONRESIDENT FATHER INVOLVEMENT AMONG UNMARRIED PARENTS
301,10.2307/2175075,Population Studies,1997,Alice Goldstein,The Relation of Migration to Changing Household Headship Patterns in China_ 1982-1987
302,10.2307/1973545,Population and Development Review,1983,William Petersen,Thoughts on Writing a Dictionary of Demography
303,10.2307/2137573,Population and Development Review,1997,,Remarks by E. Grebenik and Joel Cohen on Receiving the Olivia Schieffelin Nordberg Award
304,10.2307/1973030,Population and Development Review,1987,James W. Vaupel,The Concentration of Reproduction among US Women_ 1917-80
305,10.2307/2060267,Demography,1968,Donald T. Rice,Manpower and Training Problems in Family Planning Programs
306,10.2307/3401525,Population and Development Review,2005,,Paul Fauchille on the Rights of Emigration and Immigration
307,10.2307/2061088,Demography,1981,Maurice M. MacDonald,Earnings_ Relative Income_ and Family Formation
308,10.2307/3401498,Population and Development Review,2004,Kenneth S. Y. Chew,Hidden in Plain Sight: Global Labor Force Exchange in the Chinese American Population_ 1880-1940
309,10.2307/1973457,Population and Development Review,1985,Rakesh Mohan,Urbanization in India's Future
310,10.2307/1973655,Population and Development Review,1992,Christopher J. L. Murray,Understanding Morbidity Change
311,10.2307/1971863,Population and Development Review,1992,John Bongaarts,Measuring the Unmet Need for Contraception: Reply to Westoff
312,10.2307/2174557,Population Studies,1986,C. Shannon Stokes,Is the Relationship between Landholding and Fertility Spurious? A Response to Cain
313,10.2307/2060255,Demography,1968,C. Chandrasekharan,The Economic Commission for Asia and the Far East Program to Assist Fertility Control
314,10.2307/2175153,Population Studies,1995,Barbara A. Anderson,Ethnic Differences in Fertility and Sex Ratios at Birth in China: Evidence from Xinjiang
315,10.2307/2061431,Demography,1986,,Erratum
316,10.2307/2172009,Population Studies,1960,T. E. Smith,The Cocos-Keeling Islands: A Demographic Laboratory
317,10.2307/2173664,Population Studies,1976,R. Paul Shaw,Government Perceptions of Population Growth
318,10.2307/3401500,Population and Development Review,2004,Berna Miller Torr,Second Births and the Second Shift: A Research Note on Gender Equity and Fertility
319,10.2307/2060699,Demography,1974,Steven McLaughlin,Expected Family Size and Perceived Status Deprivation Among High School Senior Women
320,10.2307/2061796,Demography,1994,Christine L. Himes,Age Patterns of Mortality and Cause-of-Death Structures in Sweden_ Japan_ and the United States
321,10.2307/2137777,Population and Development Review,1995,F. Landis MacKellar,Population_ Households_ and CO<sub>2</sub> Emissions
322,10.2307/2174864,Population Studies,1991,James C. Riley,The Prevalence of Chronic Diseases during Mortality Increase: Hungary in the 1980s
323,10.2307/3092755,Population and Development Review,2002,John Bongaarts,How Long Do We Live?
324,10.2307/1972462,Population and Development Review,1989,,The Paris Summit on International Concerns about the Environment
325,10.2307/3092836,Population and Development Review,2002,Heather Joshi,Production_ Reproduction_ and Education: Women_ Children_ and Work in a British Perspective
326,10.2307/2172579,Population Studies,1949,S. N. Mehrotra,The Intelligence of Twins. A Comparative Study of Eleven-year-old Twins
327,10.2307/25434760,Population and Development Review,2008,James Feyrer,Aggregate Evidence on the Link between Age Structure and Productivity
328,10.2307/1973194,Population and Development Review,1987,Nancy E. Levine,Differential Child Care in Three Tibetan Communities: Beyond Son Preference
329,10.2307/1515152,Demography,2003,Rohini P. Pande,Selective Gender Differences in Childhood Nutrition and Immunization in Rural India: The Role of Siblings
330,10.2307/2060364,Demography,1967,Patience Lauriat,Field Experience in Estimating Population Growth
331,10.2307/2173375,Population Studies,1977,W. L. Marr,The United Kingdom's International Migration in the Inter-war Period: Theoretical Considerations and Empirical Testing
332,10.2307/2137500,Population and Development Review,1995,James C. Witte,Declining Fertility in East Germany After Unification: A Demographic Response to Socioeconomic Change
333,10.2307/2175185,Population Studies,1980,S. Cherry,The Hospitals and Population Growth: The Voluntary General Hospitals_ Mortality and Local Populations in the English Provinces in the Eighteenth and Nineteenth Centuries Part 2
334,10.2307/3092939,Population Studies,2002,P. N. Mari Bhat,General Growth Balance Method: A Reformulation for Populations Open to Migration
335,10.2307/2174890,Population Studies,1994,Robin Haines,Indigent Misfits or Shrewd Operators? Government-assisted Emigrants from the United Kingdom to Australia_ 1831-1860
336,10.2307/2174303,Population Studies,1990,Heather Joshi,The Cash Opportunity Costs of Childbearing: An Approach to Estimation using British Data
337,10.2307/1973381,Population and Development Review,1985,Benjamin Franklin,Benjamin Franklin on the Causes and Consequences of Population Growth
338,10.2307/2137411,Population and Development Review,1995,Matthew Lockwood,Structure and Behavior in the Social Demography of Africa
339,10.2307/172483,Population and Development Review,1999,Joseph E. Potter,The Persistence of Outmoded Contraceptive Regimes: The Cases of Mexico and Brazil
